C,C#,D,Eb,E,F,F#,G,G#,A,Bb,B,key,file_name
750.3087065,4691.414029,1612.918772,319.2533058,2335.771952,875.1781679,484.6217278,425.6069404,9693.569146,7651.337192,1195.471723,444.5897908,Db minor,3424038.LOFI.mp3
4531.097606,887.0062956,514.470259,568.6886863,1220.777055,1578.88406,960.6963496,2447.356108,633.3418371,1187.834155,1299.87675,2360.462509,C major,1164898.LOFI.mp3
34503.31129,8137.526044,25858.14329,2084.856302,154.0491282,208.6751117,135.0553606,645.0797177,238.9243106,433.8823897,1189.280108,5773.303616,C minor,1105632.LOFI.mp3
582.9809101,314.3854639,1535.620626,245.6998693,1372.465021,731.7538249,897.2878739,5411.305329,1914.269964,3970.659863,1204.547106,4388.782289,B minor,3313070.LOFI.mp3
415.6732237,900.2116609,1329.57329,56.16792925,176.0895334,109.2777358,1505.355256,757.4953916,2101.972227,4032.907101,1464.530047,2344.920782,B minor,3228297.LOFI.mp3
593.8879288,474.8851307,1276.985548,172.7445036,745.8913596,334.3241289,2480.722987,4809.2115,5783.752922,2387.072868,1642.057476,1333.941257,D major,3892740.LOFI.mp3
4824.549624,1705.412001,830.2829347,300.379525,37.29196341,60.1570245,164.5153644,3689.537134,4225.242725,8081.66908,2425.52122,3547.343288,C minor,4014747.LOFI.mp3
131.4844055,496.8328581,404.9253981,441.9342945,1054.020219,2854.35855,9449.157331,1974.164424,3195.287533,473.4353167,248.8860594,153.7302356,Gb minor,1787061.LOFI.mp3
1720.562376,819.9896587,1649.069229,3236.366379,1669.077324,3724.867032,1891.839047,7028.291214,8958.437991,3353.174722,2171.358327,1457.475138,E minor,4802314.LOFI.mp3
488.2141556,288.761148,514.8418608,152.7486041,460.7409388,2585.007087,24507.95364,40592.78759,2740.798077,2501.300208,25677.35157,7256.959406,G minor,2725286.LOFI.mp3
627.365248,1379.242757,5006.923056,992.8195158,145.980488,156.6728866,303.0844097,515.8837132,1693.006063,2587.68445,1489.899164,538.6569972,D minor,1198688.LOFI.mp3
3099.287006,6478.462119,821.0725581,2155.772103,584.80617,3035.557659,357.2859446,512.4949047,1907.005239,1374.967325,5688.884502,992.6993539,F minor,4898455.LOFI.mp3
813.3217045,438.2413615,4193.44786,390.3069581,843.4757085,3582.7718,5051.097914,3178.764181,2285.33278,1182.711619,1707.482861,699.3145028,B minor,3363602.LOFI.mp3
1747.506843,832.4053893,5908.174951,756.7840653,4096.550492,1002.909389,1485.712498,1986.394572,353.5976709,1418.600312,278.3579174,1750.954963,E minor,3415421.LOFI.mp3
0.1570107729,0,0,0.05303810802,35.68650528,0.1802249022,18.50473612,129.5277055,191.9431432,179.0410769,121.1692677,24.75527095,Db minor,4107957.LOFI.mp3
16726.93968,1989.058227,615.4157229,895.8614434,955.7478619,616.1101029,1614.049056,2621.10618,1961.499917,9125.856035,18528.88771,13579.43203,Gb minor,1856889.LOFI.mp3
53.87316249,11.9272546,267.712187,14.81502945,10.79962509,51.09668892,161.4030721,4150.492968,288.026722,26.09438961,2.374877584,203.2309322,G major,1224698.LOFI.mp3
1989.330761,179.1533275,3659.953378,274.3663714,7898.044564,1057.131061,1354.436228,2042.09406,664.7913554,710.228922,128.364971,1341.637417,E minor,3958861.LOFI.mp3
1290.529507,1697.186829,16090.87331,26630.01492,9295.557161,4461.772587,2238.157322,1360.112833,904.1426728,1419.390369,1326.905575,1166.050517,A minor,3568465.LOFI.mp3
2270.567321,311.32764,92.97144039,907.7345556,67.76270566,4620.917235,68.50858673,183.127635,1141.442355,278.4969235,579.6733381,107.9490648,F minor,3836490.LOFI.mp3
5332.323111,615.9090453,2855.728695,1085.357923,7814.452247,7961.926318,1490.284235,11437.32966,1262.594194,8777.690169,876.8343614,2947.786037,A minor,5048249.LOFI.mp3
170.7817945,53.2712519,483.689214,5496.119908,1005.069885,337.4773603,2208.458497,3279.898424,563.3373257,132.8635306,491.3115629,831.6459748,D minor,975138.LOFI.mp3
1684.03464,5381.259844,576.1505172,1602.817262,149.7557828,271.1194518,1389.046157,3899.327229,15701.10337,4760.374373,1581.324273,11536.02884,Ab minor,3324024.LOFI.mp3
6917.010579,2473.161133,1324.408013,2485.467356,15115.05399,1446.584042,6407.690131,11667.64962,13679.05943,20199.79626,12747.80504,11311.60765,Db minor,1043194.LOFI.mp3
1676.071301,2883.376914,737.9452087,1209.936202,4854.000123,867.7736254,446.1662381,607.4283308,713.7810159,618.0470357,476.2762978,272.7519193,E minor,1948785.LOFI.mp3
251.7998756,201.3260917,78.12389619,560.7362717,1368.277528,2687.796856,7509.146979,3901.808237,1351.506152,736.3116131,2696.588544,3969.867336,B minor,2667501.LOFI.mp3
5418.88205,1321.5406,4227.6839,1339.631419,1916.691791,3820.867289,938.3362,3184.098684,1926.931241,4231.224666,848.9184238,1399.338658,D minor,4088665.LOFI.mp3
582.5014314,513.7088334,351.9343079,655.6337774,1137.301638,388.5920566,172.6974889,423.4522151,640.0081395,2982.884121,548.9214879,265.7163787,A minor,5159593.LOFI.mp3
287.1760985,702.9077999,1518.14444,285.978304,1061.026638,611.9769524,6538.873455,1584.484409,486.17401,596.1874082,213.7557269,1227.775468,Gb minor,4566667.LOFI.mp3
604.4992728,286.2897629,151.0841627,93.81476662,547.8386421,7191.882394,7674.093847,5907.43782,11086.591,3991.319797,2470.476118,8776.740896,B minor,3648814.LOFI.mp3
605.5132938,1649.717729,3338.543829,1100.374654,5535.594457,1207.71316,3729.800246,908.3189263,1220.701804,6454.280817,414.9771242,1591.040656,Gb minor,3986537.LOFI.mp3
1825.1299,1489.525992,456.6958077,3708.116814,768.2086468,21205.84041,1943.055828,1643.526671,2436.89269,452.4778931,1615.247151,208.0543608,F minor,4359736.LOFI.mp3
286.7919756,1037.938334,180.7784269,1652.276222,1533.71034,410.1365235,3789.710162,395.7709114,2760.269934,346.9960934,1194.890878,3271.366123,A minor,3284384.LOFI.mp3
1975.287284,199.0870478,312.5395403,243.6133661,598.3013411,2244.448137,1486.290403,14002.596,2300.712016,1997.569748,457.1572234,272.1793721,C major,682724.LOFI.mp3
64.83403155,90.5443104,221.5746315,25.29114979,101.7290923,1013.836812,2032.495167,2011.23289,1029.003016,814.65911,2441.675283,339.92756,Bb minor,3246151.LOFI.mp3
3373.093941,812.5533537,513.3656038,106.513059,1825.186759,585.7204996,375.8301168,186.1050606,3436.045223,73221.34008,4394.990947,2307.982354,A minor,4996389.LOFI.mp3
50.52805868,17.31560639,555.7768222,67.16918404,281.2802629,13775.40672,2335.690275,18970.33932,865.1759011,114.4997621,159.9077855,4.97793443,G minor,4018247.LOFI.mp3
695.7537348,359.7658961,929.659877,35.72063649,762.0055909,21.85572397,57.68493435,700.1764175,31251.89787,12760.89281,5469.803753,1141.39802,A minor,3383171.LOFI.mp3
416.6194908,356.5109333,687.3714664,544.6365605,532.3750753,455.7653929,893.5307488,1419.116414,740.3350947,1621.979543,714.9311424,687.6544171,D minor,1690921.LOFI.mp3
1700.473358,2578.227781,2207.52648,1202.703126,2014.145199,289.0309381,250.9815656,531.4258473,1008.368637,1545.957352,1649.047924,2855.903129,E minor,890568.LOFI.mp3
